fragment_smiles,occurences,example_ligands
OC1CCCC1,20328,3:00300:0:Z2883995807;3:00300:0:Z1630451158;3:00300:0:Z4149768579;
c1cocn1,50371,3:00300:0:Z3641839628;3:00300:0:Z2310102967;3:00300:0:Z5039903404;
c1cn[nH]c1,178262,3:00300:0:Z3641839628;3:00300:0:Z2898816594;3:00300:0:Z2777172256;
Cc1csc(F)c1,486,3:00300:0:Z3534801186;3:00300:0:Z3577968465;3:00300:4:Z3503724465;
C1CCNC1,262180,3:00300:0:Z3534801186;3:00300:0:Z3559540485;3:00300:0:Z3615700180;
c1ccccc1,440986,3:00300:0:Z2601416422;3:00300:0:Z3524703611;3:00300:0:Z2290618799;
C1CCNCC1,256535,3:00300:0:Z2601416422;3:00300:0:Z3577544925;3:00300:0:Z3655678381;
C1CCOCC1,113546,3:00300:0:Z4325462256;3:00300:0:Z4217116002;3:00300:0:Z3158698396;
c1ccsc1,119544,3:00300:0:Z4325462256;3:00300:0:Z1654086511;3:00300:0:Z4393816472;
CC1CNCC1C,2872,3:00300:0:Z3537521856;3:00300:0:Z3519486027;3:00300:0:Z2647974192;
O=C1CCCC1,3017,3:00300:0:Z3524703611;3:00300:0:Z3543512267;3:00300:0:Z4238853118;
OC1CCCC1(F)F,634,3:00300:0:Z4295431325;3:00300:0:Z3699249719;3:00300:1:Z4273511962;
C1CC2CCC1CC2,3834,3:00300:0:Z4295431325;3:00300:0:Z4781094931;3:00300:0:Z4470900915;
NC1CCCC2CC12,251,3:00300:0:Z3549382687;3:00300:0:Z3519221666;3:00301:0:Z3522196020;
O=S1(=O)CCCCC1,7542,3:00300:0:Z3549382687;3:00300:0:Z4017635633;3:00300:0:Z3626148810;
c1cc2cscc2s1,254,3:00300:0:Z3856483869;3:00300:0:Z3856505041;3:00300:9:Z2710695347;
CC1C(O)CC2CCC1N2,336,3:00300:0:Z2814498074;3:00300:2:Z2815255656;3:00300:4:Z2784647650;
C1CCCCC1,107936,3:00300:0:Z1654086511;3:00300:0:Z2310102967;3:00300:0:Z1537616838;
c1ccc2c(c1)CCO2,8575,3:00300:0:Z1514764220;3:00300:0:Z4244002928;3:00300:0:Z1515157718;
C1C2CC1C2,8888,3:00300:0:Z3991227455;3:00300:0:Z4027536994;3:00300:0:Z2828437861;
c1ccc2cnccc2c1,5008,3:00300:0:Z2481170255;3:00300:0:Z4224133405;3:00300:0:Z4232605717;
C1CCC2(C1)CCN2,540,3:00300:0:Z2481170255;3:00300:0:Z4324334779;3:00300:0:Z4165419205;
Cn1ccnc1,27237,3:00300:0:Z4028642923;3:00300:0:Z1210572856;3:00300:0:Z2914678551;
C1CC2(CC2)CN1,6733,3:00300:0:Z4028642923;3:00300:0:Z2450802550;3:00300:0:Z4342572298;
CN1CCCC1=O,11100,3:00300:0:Z1219062007;3:00300:0:Z3612950529;3:00300:0:Z2646243130;
FC1(F)CCCCC1,9909,3:00300:0:Z1615136520;3:00300:0:Z3874183440;3:00300:0:Z5042877950;
CC1(C)CNCCO1,6308,3:00300:0:Z3822388289;3:00300:0:Z3822393874;3:00300:0:Z2371134824;
c1ccncc1,249692,3:00300:0:Z3822388289;3:00300:0:Z3822393874;3:00300:0:Z2371134824;
c1c[nH]nn1,68500,3:00300:0:Z2827776415;3:00300:0:Z5039750876;3:00300:0:Z5039750788;
C1CCCC1,124317,3:00300:0:Z4280236009;3:00300:0:Z4280235972;3:00300:0:Z1551769996;
C1CNCCSC1,1948,3:00300:0:Z4280236009;3:00300:0:Z4280235972;3:00300:0:Z1551769996;
Cc1ncccn1,8261,3:00300:0:Z2954537508;3:00300:0:Z2293353151;3:00300:0:Z4062224151;
C1CC2CCC1N2,7129,3:00300:0:Z2954537508;3:00300:0:Z3511080296;3:00300:0:Z2839083620;
c1cscn1,144622,3:00300:0:Z3407411753;3:00300:0:Z2977495059;3:00300:0:Z2783166069;
Cn1ccnn1,17833,3:00300:0:Z3407411753;3:00300:0:Z2630944805;3:00300:0:Z3053978832;
Cc1ccc(C)nn1,1430,3:00300:0:Z4223256219;3:00300:0:Z2922842965;3:00300:0:Z4043295552;
Clc1cccnc1,21119,3:00300:0:Z4223256219;3:00300:0:Z3818610459;3:00300:0:Z4054177882;
C1COC2CC2N1,1479,3:00300:0:Z4031392385;3:00300:0:Z2199310629;3:00300:0:Z4996382706;
FC1(F)CCC1,16136,3:00300:0:Z2289578732;3:00300:0:Z3201176861;3:00300:0:Z4235930497;
Nc1nc2c(s1)CCCC2,175,3:00300:0:Z4001994975;3:00300:6:Z2482097511;3:00300:6:Z2482098201;
Cc1c[nH]cn1,4367,3:00300:0:Z4326616156;3:00300:0:Z2961158335;3:00300:0:Z4256127835;
Cc1ccccc1,95983,3:00300:0:Z4326616156;3:00300:0:Z4200518377;3:00300:0:Z1642638024;
CC1(C)CCNCC1,2506,3:00300:0:Z3055243163;3:00300:0:Z3365644488;3:00300:0:Z4055157941;
CC1CCCCO1,8093,3:00300:0:Z4169999351;3:00300:0:Z2862800303;3:00300:0:Z2601238315;
O=c1[nH]ncn2nccc12,60,3:00300:0:Z4385364278;3:00303:4:Z1875416504;3:00307:4:Z3500135784;
FC1CCCC1,8804,3:00300:0:Z4385364278;3:00300:0:Z4351176503;3:00300:0:Z3643587506;
c1cc2scnc2cn1,415,3:00300:0:Z2932721387;3:00300:1:Z2668702798;3:00300:4:Z2783690432;
FC1CNC1,5439,3:00300:0:Z2932721387;3:00300:0:Z4265642514;3:00300:0:Z3868266818;
c1csnn1,8801,3:00300:0:Z4200518377;3:00300:0:Z3390691601;3:00300:0:Z4224602759;
CC1CC1C,6442,3:00300:0:Z4200518377;3:00300:0:Z4028155222;3:00300:0:Z3634033620;
C1COCCN1,80256,3:00300:0:Z4345684274;3:00300:0:Z3876519740;3:00300:0:Z4314741904;
CN1C2CCC1CNC2,248,3:00300:0:Z4489322240;3:00300:4:Z4035698884;3:00301:9:Z4489321645;
O=C1CNCN1,3258,3:00300:0:Z4320803199;3:00300:0:Z4346495542;3:00300:0:Z3311822966;
Oc1nccc2cccnc12,82,3:00300:0:Z4320803199;3:00301:7:Z4320678326;3:00303:1:Z4128436375;
Clc1cncnc1,3796,3:00300:0:Z3559540485;3:00300:0:Z4217408905;3:00300:0:Z4068837242;
C1CCOC1,139730,3:00300:0:Z3559540485;3:00300:0:Z2615559523;3:00300:0:Z3050751598;
CC1CCOC1,11796,3:00300:0:Z1546391978;3:00300:0:Z4191451944;3:00300:0:Z3135288292;
Cc1cnc(Cl)s1,560,3:00300:0:Z2884126566;3:00300:0:Z2322498161;3:00300:3:Z2014569345;
OC1CCC2CNCC12,561,3:00300:0:Z2884126566;3:00300:0:Z4489120472;3:00300:1:Z2868609907;
Cn1cccn1,105708,3:00300:0:Z1642638024;3:00300:0:Z3642383927;3:00300:0:Z4207212048;
OC1CCCCC1O,689,3:00300:0:Z3205176411;3:00300:0:Z4404920079;3:00300:1:Z4447524784;
c1cnoc1,79797,3:00300:0:Z4259869513;3:00300:0:Z3874183440;3:00300:0:Z2715501617;
C1CC12CNC2,1143,3:00300:0:Z4393816472;3:00300:3:Z3373478930;3:00300:6:Z3822595597;
OC1CNC1,10733,3:00300:0:Z4393816472;3:00300:0:Z3860734029;3:00300:0:Z3584633375;
c1nn[nH]n1,21551,3:00300:0:Z4563233892;3:00300:0:Z4231032827;3:00300:0:Z4827360952;
c1cc2c(s1)CCCCC2,246,3:00300:0:Z4563233892;3:00300:0:Z3361510949;3:00300:6:Z2441310003;
CC12CNCC1C1CCC2C1,140,3:00300:0:Z5039903404;3:00300:1:Z5023855416;3:00300:1:Z2964284780;
c1cnc2nccn2c1,2273,3:00300:0:Z4171053279;3:00300:1:Z3370333670;3:00300:2:Z1430156294;
c1nnn[nH]1,18413,3:00300:0:Z4961717752;3:00300:0:Z4177767635;3:00300:0:Z4216588126;
CC1CCC2(CCNC2)C1,271,3:00300:0:Z1949965010;3:00300:1:Z3829005239;3:00300:2:Z2439490874;
O=c1cn[nH]c(=O)[nH]1,388,3:00300:0:Z2143726521;3:00300:3:Z2771887035;3:00301:0:Z1529360451;
c1noc2c1CCCC2,1498,3:00300:0:Z2143726521;3:00300:0:Z4291699678;3:00300:1:Z4207463793;
CC12CC(CN1)C2,443,3:00300:0:Z2615559523;3:00300:3:Z2599961906;3:00300:4:Z2650149276;
C1CCCNCC1,20406,3:00300:0:Z1765718272;3:00300:0:Z4055368879;3:00300:0:Z814062388;
Cc1ncc(Cl)cn1,406,3:00300:0:Z3615700180;3:00300:0:Z3749680551;3:00300:0:Z1266548946;
FC1CCCCC1,10042,3:00300:0:Z3390691601;3:00300:0:Z2771520746;3:00300:0:Z2346793152;
Cc1cnoc1,6333,3:00300:0:Z4251962574;3:00300:0:Z3670064144;3:00300:0:Z3868412110;
