fragment_smiles,occurences,example_ligands
c1ccccc1,997689,51:05100:0:Z2286308866;51:05100:0:Z3869671208;51:05100:0:Z3357750185;
c1ccncc1,371438,51:05100:0:Z2286308866;51:05100:0:Z4863633298;51:05100:0:Z3640716520;
C1CCNCC1,423360,51:05100:0:Z3310129703;51:05100:0:Z2271871675;51:05100:0:Z2875322809;
Fc1ccccc1,250168,51:05100:0:Z3310129703;51:05100:0:Z4079093720;51:05100:0:Z2393193032;
c1nn[nH]n1,30452,51:05100:0:Z4595474997;51:05100:0:Z4507147465;51:05100:0:Z4668035307;
C1CCOCC1,150982,51:05100:0:Z2271871675;51:05100:0:Z3541803460;51:05100:0:Z4472167322;
Cc1cnccn1,7079,51:05100:0:Z3381664612;51:05100:0:Z2645106556;51:05100:0:Z3578003123;
C1CCC2(CCC2)OC1,3887,51:05100:0:Z3381664612;51:05100:0:Z4575079271;51:05100:0:Z2773142450;
Cc1cc2ccoc2cc1C,586,51:05100:0:Z3055267279;51:05100:0:Z2928980494;51:05100:1:Z2860422338;
Cn1cccn1,142301,51:05100:0:Z3055267279;51:05100:0:Z2000037068;51:05100:0:Z2836255265;
c1c[nH]nn1,81178,51:05100:0:Z4930223019;51:05100:0:Z3621911638;51:05100:0:Z4001984833;
C1CC2(CCSC2)CN1,427,51:05100:0:Z4246300265;51:05100:4:Z3601992604;51:05100:5:Z3845784376;
Cc1ccccc1,173917,51:05100:0:Z4246300265;51:05100:0:Z4257068361;51:05100:0:Z3844056724;
Cc1ccn[nH]1,30807,51:05100:0:Z2437235353;51:05100:0:Z2965065902;51:05100:0:Z4401474088;
Clc1ccccc1,176729,51:05100:0:Z2437235353;51:05100:0:Z2849795018;51:05100:0:Z3837674753;
c1cncnc1,85148,51:05100:0:Z4185081914;51:05100:0:Z3144730323;51:05100:0:Z4024800855;
c1ccc2c(c1)CCNC2,17483,51:05100:0:Z4185081914;51:05100:0:Z4393799621;51:05100:0:Z3350721505;
C1COCCN1,117782,51:05100:0:Z4393799621;51:05100:0:Z3650133303;51:05100:0:Z2504601268;
FC1(F)CCOCC1,2082,51:05100:0:Z3869671208;51:05100:0:Z3875120927;51:05100:0:Z4048208092;
c1cocn1,51424,51:05100:0:Z3357750185;51:05100:0:Z3518006974;51:05100:0:Z1408233822;
CN1CCCC2NCCC21,334,51:05100:0:Z3987300724;51:05100:5:Z2971257751;51:05100:5:Z2971380236;
c1cnoc1,82570,51:05100:0:Z3987300724;51:05100:0:Z3593043246;51:05100:0:Z2967512530;
Cc1ccncn1,17697,51:05100:0:Z3093025380;51:05100:0:Z3019653749;51:05100:0:Z4315074315;
c1cn[nH]c1,243754,51:05100:0:Z4491018577;51:05100:0:Z3795098805;51:05100:0:Z3470856460;
C1CCNC1,319778,51:05100:0:Z5058418001;51:05100:0:Z3640716520;51:05100:0:Z4107582923;
Fc1ccccc1Cl,16209,51:05100:0:Z5058418001;51:05100:0:Z4079231682;51:05100:0:Z1833452670;
Cc1cnoc1,4658,51:05100:0:Z4251964284;51:05100:0:Z2808790436;51:05100:0:Z1546151956;
c1ncon1,136078,51:05100:0:Z4251964284;51:05100:0:Z4318121294;51:05100:0:Z1685725469;
c1ccc2c(c1)OCO2,11788,51:05100:0:Z4251964284;51:05100:0:Z2945505058;51:05100:0:Z1908291871;
CC1(C)CNc2cnccc21,218,51:05100:0:Z4169882448;51:05100:7:Z4184151607;51:05100:7:Z4169903815;
c1cscn1,161344,51:05100:0:Z1899059619;51:05100:0:Z5013399927;51:05100:0:Z2836255265;
Cc1ccon1,13216,51:05100:0:Z1899059619;51:05100:0:Z1583348003;51:05100:0:Z4634610188;
Cc1ccnn1C,9759,51:05100:0:Z4238337242;51:05100:0:Z2928631079;51:05100:0:Z2200753053;
c1ccc2c(c1)nc1n2CCNC1,106,51:05100:0:Z4238337242;51:05100:5:Z4278131965;51:05101:4:Z4272841081;
Cc1nccs1,14233,51:05100:0:Z2875322809;51:05100:0:Z901489968;51:05100:0:Z1151443921;
C1CC2(C1)CC2,7132,51:05100:0:Z2875322809;51:05100:0:Z4350408637;51:05100:0:Z3702579905;
C1CCSCC1,10878,51:05100:0:Z4537805314;51:05100:0:Z5000783333;51:05100:0:Z4603887835;
Cc1cccc2nccn12,1393,51:05100:0:Z4537805314;51:05100:1:Z4628696436;51:05100:1:Z2761363876;
CC1(C)CCC1O,2322,51:05100:0:Z3541803460;51:05100:0:Z1748515596;51:05100:0:Z4153086561;
c1ccoc1,84400,51:05100:0:Z2965065902;51:05100:0:Z3000300703;51:05100:0:Z3650133303;
C1CNCCNC1,18355,51:05100:0:Z2769612514;51:05100:0:Z4522109892;51:05100:0:Z2329597124;
Clc1cc2cncnc2[nH]1,85,51:05100:0:Z2769612514;51:05100:5:Z3394794140;51:05101:8:Z2977059225;
C1CSCCN1,10929,51:05100:0:Z2931744064;51:05100:0:Z4536779668;51:05100:0:Z2293583427;
FC1CCNCC1,4025,51:05100:0:Z2849795018;51:05100:0:Z3520016891;51:05100:0:Z3380200481;
