fragment_smiles,occurences,example_ligands
c1cnsn1,1595,53:05300:0:Z2802299471;53:05300:0:Z3010519625;53:05300:0:Z4572988657;
C1COCCN1,117330,53:05300:0:Z2802299471;53:05300:0:Z3627455028;53:05300:0:Z2232781452;
c1cnoc1,82808,53:05300:0:Z4331622786;53:05300:0:Z3118261975;53:05300:0:Z3614958242;
C1CCNCC1,423028,53:05300:0:Z4331622786;53:05300:0:Z3408382998;53:05300:0:Z2826317934;
Fc1ccccc1,249279,53:05300:0:Z4198644054;53:05300:0:Z5008833093;53:05300:0:Z3595096028;
CC1(O)CCC1,751,53:05300:0:Z4198644054;53:05300:0:Z2362834155;53:05300:2:Z3440162933;
c1ccncc1,371560,53:05300:0:Z1495783158;53:05300:0:Z3388986163;53:05300:0:Z2861092590;
c1ncn2c1CCCC2,2848,53:05300:0:Z1495783158;53:05300:0:Z4963504095;53:05300:0:Z4141227741;
Cc1cc(C)cc(C)c1,3219,53:05300:0:Z924366640;53:05300:0:Z3795513850;53:05300:0:Z2710159206;
CC1CCCCC1,17332,53:05300:0:Z924366640;53:05300:0:Z4519585246;53:05300:0:Z1831108209;
c1ccccc1,997388,53:05300:0:Z4459311289;53:05300:0:Z2596175254;53:05300:0:Z1584077199;
C1CCC2(C1)CCCOC2,754,53:05300:0:Z3895332468;53:05300:0:Z3092009207;53:05300:2:Z4170378480;
c1cnc2cccnc2c1,891,53:05300:0:Z3895332468;53:05300:0:Z2872421779;53:05300:1:Z3050972751;
CC1(C)CCOC1,3936,53:05300:0:Z3353618144;53:05300:0:Z3292266309;53:05300:0:Z4412984907;
Fc1cccc(Cl)c1,17075,53:05300:0:Z3353618144;53:05300:0:Z2569308168;53:05300:0:Z3374974332;
CC1CCCNC1,19223,53:05300:0:Z1498472547;53:05300:0:Z4169712277;53:05300:0:Z4446209573;
C1CC2CNC2C1,639,53:05300:0:Z1498472547;53:05300:0:Z2631040633;53:05300:0:Z3176030715;
C1CCOC1,140952,53:05300:0:Z3627455028;53:05300:0:Z3607758090;53:05300:0:Z1584033185;
c1ccn2nncc2c1,837,53:05300:0:Z3627455028;53:05300:2:Z3615247215;53:05300:4:Z3554226975;
Cn1cccn1,142249,53:05300:0:Z3551024183;53:05300:0:Z1584077199;53:05300:0:Z3622279512;
OC1CCCC1,13518,53:05300:0:Z3551024183;53:05300:0:Z3552236168;53:05300:0:Z4188563108;
c1cn[nH]n1,9200,53:05300:0:Z5008833093;53:05300:0:Z1671763619;53:05300:0:Z4995043017;
c1ccsc1,125923,53:05300:0:Z2505255057;53:05300:0:Z3620819262;53:05300:0:Z1419267022;
c1ncon1,135107,53:05300:0:Z2505255057;53:05300:0:Z3502534601;53:05300:0:Z4635134197;
C1CCC2CC2C1,4436,53:05300:0:Z2505255057;53:05300:0:Z3509502399;53:05300:0:Z4140185646;
O=c1cccc[nH]1,21565,53:05300:0:Z4599057659;53:05300:0:Z2828199296;53:05300:0:Z2828539921;
C1CCOCC1,150775,53:05300:0:Z3537879422;53:05300:0:Z3792515896;53:05300:0:Z3893095024;
Cc1cn2c(n1)CCCC2,1689,53:05300:0:Z3537879422;53:05300:0:Z1257056738;53:05300:0:Z3519007068;
C1CC2(CC2)CN1,5481,53:05300:0:Z3388986163;53:05300:0:Z2439452782;53:05300:0:Z4986026909;
c1cscn1,161434,53:05300:0:Z1454029155;53:05300:0:Z3595096028;53:05300:0:Z2601454721;
c1cnc2[nH]cnc2c1,1881,53:05300:0:Z1454029155;53:05300:0:Z1510857716;53:05300:1:Z1680644522;
C1CCCCC1,144486,53:05300:0:Z3621385219;53:05300:0:Z4484336611;53:05300:0:Z3622279512;
C1NC2CC1C2,4142,53:05300:0:Z3621385219;53:05300:0:Z4410365073;53:05300:0:Z2643784118;
C1CCSCC1,10935,53:05300:0:Z1531017870;53:05300:0:Z1193039427;53:05300:0:Z4623085829;
