fragment_smiles,occurences,example_ligands
Cc1cocn1,10843,87:08700:0:PV-006316729224;87:08700:0:PV-000508069227;87:08700:0:PV-000503861466;
C1CCCC1,184538,87:08700:0:PV-006316729224;87:08700:0:PV-006316732473;87:08700:0:PV-006316745159;
CC1CCCC1,19883,87:08700:0:PV-006316729245;87:08700:0:PV-006316745529;87:08700:0:PV-002991929548;
C1CCNCC1,309459,87:08700:0:PV-006316729285;87:08700:0:PV-006316737495;87:08700:0:PV-006316740782;
Cn1nc(Cl)cc1Cl,759,87:08700:0:PV-006316729464;87:08700:0:PV-006316729465;87:08700:0:PV-006316729466;
C1CC2CNCC(C1)C2,1763,87:08700:0:PV-006316729572;87:08700:0:PV-006316751602;87:08700:1:PV-002594382421;
Cc1ncc[nH]1,13934,87:08700:0:PV-006316729572;87:08700:0:PV-003774513215;87:08700:0:PV-002991931054;
c1ccccc1,318810,87:08700:0:PV-006316729830;87:08700:0:PV-006316736666;87:08700:0:PV-006316740499;
Cc1ccccc1,77190,87:08700:0:PV-006316729833;87:08700:0:PV-006316738293;87:08700:0:PV-006316749454;
c1nc[nH]n1,126267,87:08700:0:PV-006316729833;87:08700:0:PV-006316732473;87:08700:0:PV-006316734851;
c1nnn2c1CCCCC2,267,87:08700:0:PV-006316729950;87:08700:2:PV-006316929244;87:08700:8:PV-006317576049;
Cc1cnc(C)o1,3028,87:08700:0:PV-006316730181;87:08700:0:PV-006316730182;87:08700:0:PV-003774545318;
CC1(C)OCCO1,1130,87:08700:0:PV-006316730334;87:08700:2:PV-003774607725;87:08700:2:PV-003774607726;
c1ccn2ncnc2c1,2654,87:08700:0:PV-006316730362;87:08700:0:PV-002991934532;87:08700:0:PV-002991934533;
C1CCOC1,142864,87:08700:0:PV-006316730412;87:08700:0:PV-006316744757;87:08700:0:PV-006316744758;
CC1CNCC(C)O1,855,87:08700:0:PV-006316730412;87:08700:1:PV-002692204522;87:08700:1:PV-002991951271;
CC1CCNCC1,26286,87:08700:0:PV-006316730534;87:08700:0:PV-006316731290;87:08700:0:PV-006316740705;
c1cocn1,65624,87:08700:0:PV-006316730534;87:08700:0:PV-006316758541;87:08700:0:PV-006316761584;
c1cc2sccc2[nH]1,1964,87:08700:0:PV-006316730588;87:08700:0:PV-002991940395;87:08700:1:PV-003774554320;
C1CNC2CC2N1,3664,87:08700:0:PV-006316730958;87:08700:0:PV-003774515227;87:08700:0:PV-003774538229;
Cn1cnc(N)c1,75,87:08700:0:PV-006316731270;87:08704:5:PV-003776089275;87:08706:6:PV-003776810192;
C1CCNC1,478653,87:08700:0:PV-006316731311;87:08700:0:PV-006316733264;87:08700:0:PV-006316733265;
O=C1NCC2NCCCC12,366,87:08700:0:PV-006316731336;87:08700:1:PV-006316791867;87:08700:2:PV-004107030504;
C1NCC2CC12,94266,87:08700:0:PV-006316731417;87:08700:0:PV-006316744667;87:08700:0:PV-006316749860;
CC1(C)CCO1,2977,87:08700:0:PV-006316731541;87:08700:1:PV-006316778410;87:08700:1:PV-006316789400;
CC1(C)CCCN1,19080,87:08700:0:PV-006316731541;87:08700:0:PV-003774512983;87:08700:0:PV-003774519784;
OC1CCNC1,72636,87:08700:0:PV-006316731735;87:08700:0:PV-006316748294;87:08700:0:PV-006316748295;
Cc1ccc(Cl)cc1F,456,87:08700:0:PV-006316732092;87:08700:1:PV-003774562502;87:08700:7:PV-002387403142;
OC1CNC1,34242,87:08700:0:PV-006316732092;87:08700:0:PV-006316763064;87:08700:0:PV-001711631431;
CC1CC1F,11070,87:08700:0:PV-006316732218;87:08700:0:PV-006316750480;87:08700:0:PV-006316750481;
O=c1[nH]cnc2ccccc12,1345,87:08700:0:PV-006316732250;87:08700:0:PV-002991928081;87:08700:0:PV-003774540561;
c1cn[nH]c1,170004,87:08700:0:PV-006316732473;87:08700:0:PV-006316732620;87:08700:0:PV-006316732621;
C1CSCSC1,4886,87:08700:0:PV-006316732620;87:08700:0:PV-006316732621;87:08700:0:PV-006316733841;
Cn1cc(Cl)cn1,8369,87:08700:0:PV-006316732959;87:08700:0:PV-002991930363;87:08700:0:PV-000589216318;
Nc1cccnc1,8734,87:08700:0:PV-006316732959;87:08700:0:PV-002991928428;87:08700:0:PV-002991928432;
C1CC2NCCOC2C1,789,87:08700:0:PV-006316733110;87:08700:2:PV-003774608237;87:08700:4:PV-006317194557;
C1CC2CC12,15713,87:08700:0:PV-006316733264;87:08700:0:PV-006316733265;87:08700:0:PV-006316733266;
C1CC2CC1CN2,16706,87:08700:0:PV-006316733360;87:08700:0:PV-003774511465;87:08700:0:PV-003774514170;
Clc1ccccc1,84015,87:08700:0:PV-006316733457;87:08700:0:PV-006316745923;87:08700:0:PV-006316746904;
c1c[nH]nn1,127267,87:08700:0:PV-006316733457;87:08700:0:PV-006316736820;87:08700:0:PV-006316742262;
