fragment_smiles,occurences,example_ligands
CC1CNCCN1,14943,140:14000:0:Z1571032593;140:14000:0:Z3078614594;140:14000:0:Z2348278803;
CN1CCCCC1,23782,140:14000:0:Z1571032593;140:14000:0:Z2820423179;140:14000:0:Z4641323320;
Cc1ccccc1,241436,140:14000:0:Z3563413715;140:14000:0:Z4907412751;140:14000:0:Z3590165125;
Cc1ccn[nH]1,38936,140:14000:0:Z3563413715;140:14000:0:Z1616027476;140:14000:0:Z2622142059;
C1CCOC1,145150,140:14000:0:Z3563413715;140:14000:0:Z4362961290;140:14000:0:Z1493615225;
CC1CCNCC1,21940,140:14000:0:Z4407430504;140:14000:0:Z5043934789;140:14000:0:Z2667700160;
c1ccncc1,455223,140:14000:0:Z4407430504;140:14000:0:Z1999914880;140:14000:0:Z4268723840;
Cc1ccc2c(c1)OCO2,444,140:14000:0:Z3820467572;140:14000:2:Z3808257790;140:14000:4:Z1957933774;
CN1CC2(CCNCC2)C1,311,140:14000:0:Z3820467572;140:14000:1:Z4013596489;140:14000:5:Z3841091935;
C1CSC2(C1)CNC2,422,140:14000:0:Z3590927203;140:14000:1:Z3201813463;140:14000:2:Z3597385423;
Cc1nccs1,13927,140:14000:0:Z3590927203;140:14000:0:Z2883374675;140:14000:0:Z1646747164;
C1CC2CCN(C1)C2,698,140:14000:0:Z2917417278;140:14000:1:Z2918842578;140:14000:4:Z2916717775;
C1COCCN1,170132,140:14000:0:Z2917417278;140:14000:0:Z2371151960;140:14000:0:Z3360302569;
Oc1ccccc1,42976,140:14000:0:Z2917417278;140:14000:0:Z4299402227;140:14000:0:Z4269221861;
c1ccccc1,1601647,140:14000:0:Z3374657834;140:14000:0:Z2023311608;140:14000:0:Z1838970182;
O=c1cccn[nH]1,6561,140:14000:0:Z3374657834;140:14000:0:Z4230185009;140:14000:0:Z1955030456;
C1CCNC1,382117,140:14000:0:Z3992518123;140:14000:0:Z2219880049;140:14000:0:Z3101189881;
C1CCNCC1,620422,140:14000:0:Z3992518123;140:14000:0:Z2219880049;140:14000:0:Z1999914880;
Clc1ncccn1,805,140:14000:0:Z3992518123;140:14000:1:Z3176658250;140:14000:1:Z5063816389;
CC1CCOC1,3950,140:14000:0:Z3442137691;140:14000:0:Z3880093335;140:14000:0:Z4266122616;
c1ccc2c(c1)CCOC2,11558,140:14000:0:Z3442137691;140:14000:0:Z3346055643;140:14000:0:Z3640654289;
Cc1cocn1,7793,140:14000:0:Z2219880049;140:14000:0:Z4169345353;140:14000:0:Z2230383165;
Cc1cnc[nH]1,2214,140:14000:0:Z4907412751;140:14000:0:Z3590165125;140:14000:0:Z1240476634;
C1CC2CNC(C1)C2,2154,140:14000:0:Z4907412751;140:14000:0:Z3590165125;140:14000:0:Z4907418599;
c1nnn[nH]1,29580,140:14000:0:Z2023311608;140:14000:0:Z1834964291;140:14000:0:Z2846054540;
OC1CNC1,7236,140:14000:0:Z2023311608;140:14000:0:Z4922282423;140:14000:0:Z2808829516;
Fc1ccccc1,351750,140:14000:0:Z2023311608;140:14000:0:Z4268723840;140:14000:0:Z4599209986;
Cc1ccc2c(n1)CCCC2,365,140:14000:0:Z2952481824;140:14000:1:Z2947142264;140:14000:5:Z4316279580;
C1CNCCN1,198103,140:14000:0:Z3845027494;140:14000:0:Z4112507292;140:14000:0:Z2493626590;
Clc1cccnc1,20424,140:14000:0:Z3845027494;140:14000:0:Z2303611730;140:14000:0:Z2348095495;
Fc1cccnc1,26516,140:14000:0:Z3845027494;140:14000:0:Z1463106996;140:14000:0:Z4286350839;
Cc1noc2ncncc12,106,140:14000:0:Z1999914880;140:14000:2:Z3649705913;140:14000:8:Z1999973413;
Clc1cnc2ccccc2n1,93,140:14000:0:Z4267514991;140:14000:0:Z4267510456;140:14001:6:Z4991629611;
CC1OCCO1,3593,140:14000:0:Z4267514991;140:14000:0:Z2705569538;140:14000:0:Z1676080194;
c1ccc2c(c1)CCCC2,15555,140:14000:0:Z4362961290;140:14000:0:Z4775913594;140:14000:0:Z1204985782;
Cc1cc(C)[nH]n1,32079,140:14000:0:Z4599209986;140:14000:0:Z3623278833;140:14000:0:Z2959091773;
C1CC2CNCC12,5620,140:14000:0:Z4599209986;140:14000:0:Z4420626028;140:14000:0:Z3079000181;
N=S1(=O)CCCCC1,491,140:14000:0:Z4517336563;140:14000:1:Z3610608407;140:14000:2:Z3837875047;
CC1Cc2ccccc2O1,4385,140:14000:0:Z4517336563;140:14000:0:Z4504349951;140:14000:0:Z2146009466;
c1cn[nH]c1,287088,140:14000:0:Z2474489211;140:14000:0:Z3173606086;140:14000:0:Z4294371088;
c1cncnc1,91374,140:14000:0:Z2299656491;140:14000:0:Z4350904716;140:14000:0:Z4287835133;
Cc1cc(=O)[nH]cn1,3545,140:14000:0:Z1325222175;140:14000:0:Z2905774776;140:14000:0:Z4508245900;
O=c1ccoc2ccccc12,920,140:14000:0:Z2932517116;140:14000:0:Z4266122616;140:14000:2:Z4215913564;
O=C1CSc2ccccc2N1,2557,140:14000:0:Z3173606086;140:14000:0:Z1467542223;140:14000:0:Z2599343587;
c1ccc2sccc2c1,7184,140:14000:0:Z511872424;140:14000:0:Z4024111944;140:14000:0:Z3645200755;
CC1(C)OCC2(CCNCC2)CO1,351,140:14000:0:Z4907304203;140:14000:6:Z4907306405;140:14001:0:Z4908938669;
c1ccc2c(c1)CCN2,24257,140:14000:0:Z2785231052;140:14000:0:Z1749804071;140:14000:0:Z4125365353;
