fragment_smiles,occurences,example_ligands
c1ccccc1,999030,44:04400:0:Z3514506615;44:04400:0:Z2843152798;44:04400:0:Z4592174993;
c1cocn1,51622,44:04400:0:Z3514506615;44:04400:0:Z2010563230;44:04400:0:Z1245200553;
c1nc[nH]n1,47749,44:04400:0:Z2843152798;44:04400:0:Z2014454671;44:04400:0:Z4734077799;
C1CCC2(CCNCC2)OC1,988,44:04400:0:Z2843152798;44:04400:2:Z4389765850;44:04400:3:Z4342560509;
Clc1cn2ccnc2cn1,126,44:04400:0:Z4266796230;44:04400:0:Z4266794950;44:04401:2:Z4266757440;
CN1CC2(CNC2)C1,118,44:04400:0:Z4218024807;44:04400:6:Z4218003401;44:04400:8:Z4217999022;
c1ccsc1,126018,44:04400:0:Z4218024807;44:04400:0:Z4266650814;44:04400:0:Z3435302263;
Clc1cn[nH]c1,7804,44:04400:0:Z4218024807;44:04400:0:Z3584410889;44:04400:0:Z4289234780;
CC1(F)CC2(CNC2)C1,338,44:04400:0:Z4466832104;44:04400:1:Z4465375408;44:04400:9:Z4478554131;
c1ccncc1,371632,44:04400:0:Z4466832104;44:04400:0:Z4974077593;44:04400:0:Z3799041498;
CN1CCCc2ccccc21,1647,44:04400:0:Z2773926029;44:04400:1:Z4578303260;44:04400:2:Z1494992150;
Cc1ccccc1,173814,44:04400:0:Z2873305923;44:04400:0:Z1419140939;44:04400:0:Z3364462797;
C1NC2CNC1C2,2890,44:04400:0:Z2873305923;44:04400:0:Z4200141763;44:04400:0:Z2827716592;
O=C1CCCCN1,25448,44:04400:0:Z4385801516;44:04400:0:Z3190644164;44:04400:0:Z3554205339;
c1cc2ccncc2cn1,778,44:04400:0:Z4385801516;44:04400:1:Z4386286787;44:04400:2:Z4350035736;
C1CCOC1,141429,44:04400:0:Z4592174993;44:04400:0:Z4614547687;44:04400:0:Z2919030953;
O=C1CCC1,2871,44:04400:0:Z4255974662;44:04400:0:Z3517095352;44:04400:0:Z3517423995;
C1CNC2(C1)CCOCC2,2192,44:04400:0:Z3550650952;44:04400:0:Z4213852035;44:04400:0:Z4213626379;
C1CNCCN1,113684,44:04400:0:Z4155610544;44:04400:0:Z3864007444;44:04400:0:Z2945566528;
Cc1ccn[nH]1,30534,44:04400:0:Z1851736619;44:04400:0:Z4027380044;44:04400:0:Z2407260457;
C1CNCCOC1,13622,44:04400:0:Z2620936513;44:04400:0:Z3653169877;44:04400:0:Z3695347168;
Clc1ccccc1,176708,44:04400:0:Z2067459093;44:04400:0:Z2105899325;44:04400:0:Z1958839418;
C1CCOCC1,151314,44:04400:0:Z2067459093;44:04400:0:Z4140453963;44:04400:0:Z3319765643;
CC1CC(=O)NCCN1,406,44:04400:0:Z2658660293;44:04400:0:Z1266952208;44:04400:0:Z1266950825;
O=c1[nH]ccc2ccccc12,1737,44:04400:0:Z2658660293;44:04400:1:Z2925627833;44:04400:1:Z3517993509;
c1ncon1,135275,44:04400:0:Z4140453963;44:04400:0:Z3879112833;44:04400:0:Z1642428068;
Cc1cc(C)[nH]c(=O)n1,632,44:04400:0:Z4471685875;44:04400:1:Z1695886730;44:04400:2:Z4571910873;
Cc1cscn1,35875,44:04400:0:Z4164598965;44:04400:0:Z4164585814;44:04400:0:Z3200945212;
OC1CCNCC1O,1223,44:04400:0:Z4164598965;44:04400:0:Z4164585814;44:04400:2:Z4206908331;
CC1CCCO1,11765,44:04400:0:Z3579179300;44:04400:0:Z2850052511;44:04400:0:Z2306873843;
C1CCNC1,320266,44:04400:0:Z1452350639;44:04400:0:Z2703720758;44:04400:0:Z4910606937;
c1nnc2n1CCCCC2,2155,44:04400:0:Z1452350639;44:04400:0:Z3643381711;44:04400:0:Z4291694171;
c1cncnc1,85638,44:04400:0:Z4215410143;44:04400:0:Z1265270072;44:04400:0:Z3019392208;
CC1CCCC1,8400,44:04400:0:Z3092726309;44:04400:0:Z2158716039;44:04400:0:Z4886704443;
Cc1ccco1,22459,44:04400:0:Z3092726309;44:04400:0:Z4232605383;44:04400:0:Z2172176208;
Cc1ccccc1F,12368,44:04400:0:Z1419140939;44:04400:0:Z4913232799;44:04400:0:Z4913225058;
