fragment_smiles,occurences,example_ligands
c1cscn1,161994,60:06000:0:Z4294004918;60:06000:0:Z2826621644;60:06000:0:Z1187293138;
c1cc2n(n1)CCNC2,4278,60:06000:0:Z4294004918;60:06000:0:Z2975631790;60:06000:0:Z2962263073;
Cc1cc2ccccc2[nH]c1=O,215,60:06000:0:Z2958449021;60:06000:8:Z2961293806;60:06001:6:Z3656614909;
O=c1ccnc[nH]1,4209,60:06000:0:Z1458104506;60:06000:0:Z4305853738;60:06000:0:Z4638203300;
c1ccc2c(c1)CCCC2,11628,60:06000:0:Z1458104506;60:06000:0:Z2405938653;60:06000:0:Z2494142897;
C1CCNC1,320753,60:06000:0:Z2643395022;60:06000:0:Z4112042113;60:06000:0:Z3591374669;
c1cnccn1,29935,60:06000:0:Z2643395022;60:06000:0:Z1966374295;60:06000:0:Z4274544151;
c1cn[nH]c1,243979,60:06000:0:Z2643395022;60:06000:0:Z3402738633;60:06000:0:Z1705012928;
c1ccccc1,997156,60:06000:0:Z3380303823;60:06000:0:Z3795746917;60:06000:0:Z3795779603;
CC1(C)CNCCO1,7264,60:06000:0:Z3380303823;60:06000:0:Z3439220068;60:06000:0:Z4027100190;
Clc1ccccc1,176578,60:06000:0:Z4280587355;60:06000:0:Z4211963825;60:06000:0:Z4063957248;
Cc1ncon1,11557,60:06000:0:Z2293119666;60:06000:0:Z4238333870;60:06000:0:Z291868038;
c1ccsc1,126415,60:06000:0:Z2293119666;60:06000:0:Z2647196643;60:06000:0:Z3057756127;
C1COCCN1,117852,60:06000:0:Z2293119666;60:06000:0:Z1681831534;60:06000:0:Z4241916035;
Cn1cnc2ccccc21,5037,60:06000:0:Z1797146597;60:06000:0:Z1779405942;60:06000:0:Z4022621046;
Fc1cccc2c1OCCC2,947,60:06000:0:Z1797146597;60:06000:0:Z1779405942;60:06000:3:Z1796349089;
FC1CCC1,11385,60:06000:0:Z3795746917;60:06000:0:Z3795779603;60:06000:0:Z4056064372;
C1CNCCN1,113783,60:06000:0:Z2826621644;60:06000:0:Z3829233785;60:06000:0:Z983573904;
Cn1ncc2c1CCOC2,1161,60:06000:0:Z3537860535;60:06000:0:Z4253232341;60:06000:0:Z3516382618;
C1CCC2CNCCC2C1,1494,60:06000:0:Z3402738633;60:06000:0:Z4414621128;60:06000:0:Z4233049852;
c1nn[nH]n1,30657,60:06000:0:Z4442805553;60:06000:0:Z50985486;60:06000:0:Z4511405079;
CC1CCOCC1,2781,60:06000:0:Z1716091876;60:06000:0:Z3439922549;60:06000:0:Z3404398832;
Clc1cccc2c1NCCN2,46,60:06000:0:Z1716091876;60:06001:6:Z1717544372;60:06004:0:Z1716092078;
c1cnoc1,83137,60:06000:0:Z2312931442;60:06000:0:Z4211963825;60:06000:0:Z3834739576;
c1ccncc1,371912,60:06000:0:Z2312931442;60:06000:0:Z2350793453;60:06000:0:Z1698095539;
c1c[nH]nn1,81290,60:06000:0:Z2312931442;60:06000:0:Z3645055548;60:06000:0:Z4211963825;
C1CCCCC1,143842,60:06000:0:Z2297576719;60:06000:0:Z4316901829;60:06000:0:Z3322848567;
Cc1c[nH]c2c1C(=O)CCC2,240,60:06000:0:Z2297576719;60:06000:1:Z4876879954;60:06000:3:Z338078862;
c1cocn1,51808,60:06000:0:Z4316901829;60:06000:0:Z4870252967;60:06000:0:Z2089412476;
Cn1cccn1,142058,60:06000:0:Z4151467714;60:06000:0:Z3322848567;60:06000:0:Z3322487538;
Cc1cc2c(cc1C)OCC2,524,60:06000:0:Z4254753185;60:06000:1:Z4570820170;60:06000:1:Z3388882789;
c1ncon1,135424,60:06000:0:Z4254753185;60:06000:0:Z3346380283;60:06000:0:Z2705668947;
Oc1cncnc1,115,60:06000:0:Z4254753185;60:06001:0:Z4187961426;60:06002:5:Z4134424532;
Cc1cscn1,35626,60:06000:0:Z1569324115;60:06000:0:Z4224184241;60:06000:0:Z3872618283;
Cc1cn2nc(C)sc2n1,507,60:06000:0:Z1569324115;60:06000:0:Z4385505369;60:06000:2:Z2874424011;
c1ccc2ncccc2c1,18390,60:06000:0:Z2601572372;60:06000:0:Z2234878906;60:06000:0:Z3641724864;
Cc1ccccc1,174142,60:06000:0:Z4241916035;60:06000:0:Z2310992299;60:06000:0:Z89453944;
Fc1ccccc1,250267,60:06000:0:Z3645055548;60:06000:0:Z1750935792;60:06000:0:Z4200999639;
c1cc2c(o1)CCCC2,1395,60:06000:0:Z4112042113;60:06000:0:Z3889253221;60:06000:3:Z4020464587;
c1nc2c([nH]1)CNCC2,399,60:06000:0:Z4961345189;60:06000:3:Z4284605609;60:06000:7:Z4061869349;
FC1(F)CCCCC1,10274,60:06000:0:Z2350793453;60:06000:0:Z2000251687;60:06000:0:Z2141549215;
Cn1cnc2ncncc21,139,60:06000:0:Z3829233785;60:06000:8:Z3830270355;60:06001:3:Z4338917488;
c1ccoc1,85397,60:06000:0:Z3493167056;60:06000:0:Z1437753919;60:06000:0:Z4870252967;
C1CCC2(CCCC2)OC1,1313,60:06000:0:Z3493167056;60:06000:0:Z4347812252;60:06000:2:Z2769640863;
CC1CCCO1,11925,60:06000:0:Z2310992299;60:06000:0:Z1831586894;60:06000:0:Z4931593341;
O=c1cc2c(n[nH]1)CCC2,188,60:06000:0:Z3082264598;60:06000:5:Z3086797174;60:06001:7:Z3084118757;
NC1CC2CCCC12,1033,60:06000:0:Z4079412173;60:06000:0:Z4079412150;60:06000:1:Z3137453298;
OC1COc2ccccc2C1,368,60:06000:0:Z4079412173;60:06000:0:Z4079412150;60:06000:1:Z3441421613;
c1ccc2c(c1)CCN2,15009,60:06000:0:Z2928500699;60:06000:0:Z2089130743;60:06000:0:Z2914073982;
C1CC2OCCC2CN1,448,60:06000:0:Z2928500699;60:06000:5:Z2457462174;60:06000:5:Z2457460559;
NC1CNCCC1F,238,60:06000:0:Z2873979897;60:06000:4:Z2596033221;60:06000:5:Z3046391402;
CC1CCNCC1,17912,60:06000:0:Z1687407055;60:06000:0:Z2378725612;60:06000:0:Z3517875170;
CN1CCC(O)C1,1519,60:06000:0:Z1687407055;60:06000:0:Z4193627185;60:06000:0:Z3319871459;
CC1CCCN1,19388,60:06000:0:Z3560212812;60:06000:0:Z2996654707;60:06000:0:Z5059897016;
Fc1cc2c(s1)CCOC2,296,60:06000:0:Z2228074766;60:06000:2:Z2207191670;60:06000:2:Z2207191665;
Cc1ccc(C)o1,2609,60:06000:0:Z1607078223;60:06000:1:Z2405949700;60:06000:1:Z1721060959;
c1cc2c(cn1)NCC2,488,60:06000:0:Z1607078223;60:06000:1:Z4127042416;60:06000:2:Z4960035366;
c1ccc2cnccc2c1,9541,60:06000:0:Z2918399543;60:06000:0:Z3385931573;60:06000:0:Z5059965252;
c1nnc[nH]1,41535,60:06000:0:Z2918399543;60:06000:0:Z2026435990;60:06000:0:Z4311417655;
Cc1cc[nH]n1,28079,60:06000:0:Z4486573682;60:06000:0:Z1066031172;60:06000:0:Z1069254948;
C1CCOC1,141147,60:06000:0:Z4600712508;60:06000:0:Z3086135256;60:06000:0:Z4600721509;
C1CC2(C1)CCOC2,3194,60:06000:0:Z4600712508;60:06000:0:Z3086135256;60:06000:0:Z4600721509;
C1CCNCC1,421529,60:06000:0:Z5058479033;60:06000:0:Z3346380283;60:06000:0:Z3866995661;
Clc1ccc2c(c1)CCC2,1534,60:06000:0:Z5058479033;60:06000:0:Z2817987826;60:06000:0:Z2433536720;
C1CC2CC2C1,9993,60:06000:0:Z4305853738;60:06000:0:Z3783877210;60:06000:0:Z4273279006;
c1ccc2nonc2c1,1771,60:06000:0:Z3322848567;60:06000:0:Z3322487538;60:06000:0:Z4094817089;
Fc1cccc(F)c1,46194,60:06000:0:Z3346380283;60:06000:0:Z2079949909;60:06000:0:Z1609399767;
c1cncnc1,84862,60:06000:0:Z3548180506;60:06000:0:Z3391446708;60:06000:0:Z2226176868;
FC1(F)CC2(CCC2)C1,2410,60:06000:0:Z2709099950;60:06000:0:Z3703421519;60:06000:0:Z4268381609;
Cc1nn2c(c1N)NCCC2,95,60:06000:0:Z4448472660;60:06000:0:Z4448469844;60:06000:8:Z4448474018;
C1COC2COCC2N1,1362,60:06000:0:Z4448472660;60:06000:0:Z3513170400;60:06000:1:Z4111580227;
CC1COCCCN1,345,60:06000:0:Z1478971179;60:06000:1:Z3608075116;60:06000:2:Z1510327143;
c1cc2c(s1)CCNC2,3031,60:06000:0:Z1752497186;60:06000:0:Z1323523673;60:06000:0:Z4471746073;
Oc1ccccc1,37277,60:06000:0:Z2804733295;60:06000:0:Z3539948148;60:06000:0:Z3606069246;
CC1CNCCCO1,1151,60:06000:0:Z2804733295;60:06000:1:Z3899237902;60:06000:1:Z1618786433;
O=c1cccc[nH]1,21458,60:06000:0:Z2963800476;60:06000:0:Z2841162444;60:06000:0:Z758244668;
c1ccc2c(c1)COCO2,370,60:06000:0:Z1786335741;60:06000:2:Z2254828972;60:06000:4:Z3088310528;
C1CNCC2(C1)CCC2,1793,60:06000:0:Z3385931573;60:06000:0:Z4055559583;60:06000:0:Z3372637866;
c1cc2c(s1)CCOC2,1603,60:06000:0:Z1472774262;60:06000:0:Z2203293634;60:06000:1:Z4333950674;
