fragment_smiles,occurences,example_ligands
C1CCOCC1,113661,8:00800:0:Z3007297854;8:00800:0:Z3844054301;8:00800:0:Z4114598285;
Cn1cccn1,104639,8:00800:0:Z3007297854;8:00800:0:Z4373890856;8:00800:0:Z1229705789;
C1CCc2[nH]nnc2C1,1271,8:00800:0:Z2640459586;8:00800:0:Z3055086613;8:00800:0:Z3501180078;
c1ccsc1,119655,8:00800:0:Z4341873584;8:00800:0:Z4032721836;8:00800:0:Z3092007505;
C1CCNC1,263885,8:00800:0:Z4341873584;8:00800:0:Z3374555224;8:00800:0:Z5061403438;
Cc1cscn1,28586,8:00800:0:Z1384039471;8:00800:0:Z4841247195;8:00800:0:Z2093861113;
c1ccccc1,439986,8:00800:0:Z1384039471;8:00800:0:Z3136221151;8:00800:0:Z3136189963;
Cc1ncsc1C,3843,8:00800:0:Z2302851202;8:00800:0:Z2599583132;8:00800:0:Z4069606994;
c1cn2c(n1)CCCC2,5350,8:00800:0:Z3945105330;8:00800:0:Z1745210239;8:00800:0:Z4139391164;
Clc1cc2[nH]ccc2o1,180,8:00800:0:Z3945105330;8:00800:3:Z3819665749;8:00803:7:Z4004167530;
CC1CC(=O)c2cccnc2C1,50,8:00800:0:Z4285812482;8:00802:2:Z3845578527;8:00804:2:Z4285812460;
C1=NCCN1,2475,8:00800:0:Z4001749342;8:00800:0:Z3301841178;8:00800:0:Z3301839764;
FC1CCNC1,15472,8:00800:0:Z4110901437;8:00800:0:Z3699706719;8:00800:0:Z3699704805;
c1nc[nH]n1,40815,8:00800:0:Z4110901437;8:00800:0:Z3374555224;8:00800:0:Z1646285756;
c1cncnc1,75144,8:00800:0:Z4390954002;8:00800:0:Z3589889305;8:00800:0:Z2574866967;
O=C1CCOCCN1,571,8:00800:0:Z4390954002;8:00800:0:Z4466226998;8:00800:1:Z4488376243;
c1ncon1,105595,8:00800:0:Z4140098217;8:00800:0:Z1708144285;8:00800:0:Z1212196091;
Fc1cccnc1,26626,8:00800:0:Z4140098217;8:00800:0:Z2212480387;8:00800:0:Z3648738357;
Cc1cncs1,12885,8:00800:0:Z1726799570;8:00800:0:Z2911902014;8:00800:0:Z4436784920;
Cc1ncc(Cl)cn1,469,8:00800:0:Z2875647065;8:00800:2:Z2784588793;8:00800:6:Z2285171420;
C1CCC2CCC2C1,1085,8:00800:0:Z2875647065;8:00800:0:Z2960646485;8:00800:0:Z3162480419;
Fc1cccc(F)c1,23853,8:00800:0:Z3622819957;8:00800:0:Z2067362043;8:00800:0:Z1390263228;
C1COCCN1,80735,8:00800:0:Z3622819957;8:00800:0:Z4143260955;8:00800:0:Z1575894457;
c1cnsc1,22087,8:00800:0:Z3468310837;8:00800:0:Z2994514219;8:00800:0:Z2849712429;
OC1CCCCC1,23268,8:00800:0:Z3468310837;8:00800:0:Z3584838038;8:00800:0:Z2846760050;
CC1OCCO1,2468,8:00800:0:Z3544173577;8:00800:0:Z4236493298;8:00800:1:Z2162516658;
FC1(F)CC1,15810,8:00800:0:Z4448136729;8:00800:0:Z3857104808;8:00800:0:Z4644790549;
C1CCNCC1,256770,8:00800:0:Z4054494440;8:00800:0:Z1289245947;8:00800:0:Z3657217884;
CC1CNCC(C)N1,2067,8:00800:0:Z2904157920;8:00800:0:Z4205135837;8:00800:1:Z2836913400;
c1cocn1,50899,8:00800:0:Z2904157920;8:00800:0:Z2846371028;8:00800:0:Z2829265842;
Cc1ncc[nH]1,8301,8:00800:0:Z4267325532;8:00800:0:Z4486186734;8:00800:0:Z1909230753;
FC1CNC1,5372,8:00800:0:Z4267325532;8:00800:0:Z4490315723;8:00800:0:Z3937820909;
c1c[nH]nn1,67649,8:00800:0:Z2846371028;8:00800:0:Z2638122863;8:00800:0:Z3831700937;
Cc1cn2ccnc2s1,496,8:00800:0:Z3584838038;8:00800:0:Z3434085259;8:00800:3:Z3542092712;
